timestamp,t_bmp,presion_hpa,altitud,t_dht,humedad
841523610,20.8,1008.44,40.63,21.7,67.6
841523610,20.8,1008.36,40.63,21.7,67.6
841523611,20.8,1008.28,40.79,21.7,67.6
841523613,20.8,1008.24,41.21,21.7,67.6
841523614,20.8,1008.37,40.88,21.7,67.5
841523614,20.8,1008.26,41.3,21.7,67.5
841523616,20.8,1008.37,40.54,21.7,67.5
841523617,20.8,1008.44,40.79,21.7,67.5
841523618,20.9,1008.46,40.88,21.7,67.5
841523619,20.8,1008.3,40.71,21.7,67.5
841523620,20.8,1008.37,41.3,21.7,67.5
841523621,20.8,1008.38,40.79,21.7,67.5
841523622,20.8,1008.45,40.96,21.7,67.5
841523623,20.8,1008.31,40.63,21.7,67.5
841523624,20.8,1008.32,40.13,21.7,67.5
841523624,20.8,1008.46,40.71,21.7,67.5
841523625,20.8,1008.34,40.04,21.7,67.5
841523626,20.8,1008.34,40.54,21.7,67.4
841523628,20.8,1008.27,40.71,21.7,67.4
841523629,20.8,1008.27,40.88,21.7,67.4
841523630,20.8,1008.37,40.63,21.7,67.4
841523630,20.8,1008.35,40.71,21.7,67.4
841523631,20.8,1008.44,40.04,21.6,67.4
841523632,20.8,1008.33,40.04,21.6,67.4
841523633,20.8,1008.45,40.04,21.6,67.4
841523634,20.8,1008.33,40.13,21.6,67.4
841523635,20.8,1008.28,40.63,21.6,67.4
841523636,20.8,1008.34,40.54,21.6,67.5
841523638,20.8,1008.33,40.71,21.6,67.5
841523639,20.8,1008.25,40.96,21.6,67.5
841523640,20.8,1008.37,40.21,21.6,67.5
841523641,20.8,1008.36,40.96,21.6,67.5
841523641,20.8,1008.38,40.96,21.6,67.5
841523643,20.9,1008.33,40.79,21.6,67.5
841523644,20.9,1008.34,40.88,21.6,67.5
841523645,20.9,1008.39,41.21,21.6,67.5
841523646,20.8,1008.29,41.55,21.6,67.6
841523647,20.8,1008.38,40.79,21.6,67.6
841523648,20.9,1008.34,40.88,21.6,67.6
841523649,20.9,1008.45,39.96,21.6,67.6
841523649,20.8,1008.25,41.8,21.6,67.6
841523650,20.9,1008.36,41.3,21.6,67.6
841523651,20.8,1008.26,41.13,21.6,67.6
841523653,20.8,1008.44,40.54,21.6,67.7
841523654,20.9,1008.38,40.21,21.6,67.7
841523655,20.9,1008.47,40.21,21.6,67.7
841523656,20.9,1008.27,40.71,21.6,67.7
841523657,20.9,1008.28,41.05,21.6,67.7
841523658,20.9,1008.44,40.04,21.6,67.7
841523659,20.9,1008.38,40.04,21.6,67.8
841523660,20.9,1008.3,40.96,21.6,67.8
841523661,20.9,1008.33,41.05,21.6,67.8
841523662,20.9,1008.36,40.79,21.6,67.8
841523663,20.9,1008.35,40.54,21.6,67.8
841523664,20.9,1008.43,40.04,21.6,67.9
841523665,20.9,1008.24,40.13,21.6,67.9
841523666,20.9,1008.24,40.13,21.6,67.9
841523667,20.9,1008.33,40.71,21.6,67.9
